,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
3244,win,Ben Nguyen  Ryan Benoit,0  0,11  1,0  0,2  0,Flyweight,SUB  Rear Naked Choke,1,2:35,"
              UFC 193: Rousey vs Holm
            "
3245,win,Vitor Belfort  Dan Henderson,1  0,6  3,0  0,0  0,Middleweight,KO/TKO  Kick,1,2:07,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3246,win,Glover Teixeira  Patrick Cummins,0  0,54  33,0  4,0  0,Light Heavyweight,KO/TKO  Punches,2,1:12,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3247,win,Thomas Almeida  Anthony Birchak,1  0,24  27,0  0,0  0,Bantamweight,KO/TKO  Punches,1,4:24,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3248,win,Alex Oliveira  Piotr Hallmann,1  0,42  36,0  1,0  0,Lightweight,KO/TKO  Punch,3,0:51,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3249,win,Rashid Magomedov  Gilbert Burns,2  0,80  28,2  2,0  0,Lightweight,U-DEC,3,5:00,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3250,win,Corey Anderson  Fabio Maldonado,0  0,60  26,6  0,0  0,Light Heavyweight,U-DEC,3,5:00,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3251,win,Abel Trujillo  Gleison Tibau,0  0,0  3,0  2,0  1,Lightweight,DQ  Rear Naked Choke,1,1:45,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3252,win,Johnny Case  Yan Cabral,1  0,74  31,0  3,0  0,Lightweight,U-DEC,3,5:00,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3253,win,Thiago Tavares  Clay Guida,0  0,2  3,0  1,1  0,Featherweight,SUB  Guillotine Choke,1,0:39,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3254,win,Chas Skelly  Edimilson Souza,0  1,7  19,2  0,2  0,Featherweight,SUB  Rear Naked Choke,2,1:56,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3255,win,Viscardi Andrade  Gasan Umalatov,0  0,78  38,0  0,0  0,Welterweight,U-DEC,3,5:00,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3256,win,Jimmie Rivera  Pedro Munhoz,0  0,96  66,0  0,0  0,Bantamweight,S-DEC,3,5:00,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3257,win,Matheus Nicolau  Bruno Korea,2  1,46  27,3  0,3  0,Bantamweight,SUB  Guillotine Choke,3,3:27,"
              UFC Fight Night: Belfort vs Henderson 3
            "
3258,win,Louis Smolka  Paddy Holohan,0  0,59  16,0  4,2  0,Flyweight,SUB  Rear Naked Choke,2,4:09,"
              UFC Fight Night: Holohan vs Smolka
            "
3259,win,Norman Parke  Reza Madadi,0  0,47  33,1  1,0  0,Lightweight,U-DEC,3,5:00,"
              UFC Fight Night: Holohan vs Smolka
            "
3260,draw  draw,Nicolas Dalby  Darren Till,0  1,84  49,2  0,0  0,Welterweight,M-DEC,3,5:00,"
              UFC Fight Night: Holohan vs Smolka
            "
