,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
0,win,Mateusz Gamrot  Arman Tsarukyan,0  1,81  95,6  1,0  0,Lightweight,U-DEC,5,5:00,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
1,win,Shavkat Rakhmonov  Neil Magny,0  0,19  11,2  0,1  0,Welterweight,SUB  Guillotine Choke,2,4:58,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
2,win,Josh Parisian  Alan Baudot,0  1,42  49,3  0,0  0,Heavyweight,KO/TKO  Punches,2,3:04,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
3,win,Thiago Moises  Christos Giagos,0  0,3  2,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,3:05,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
4,win,Umar Nurmagomedov  Nate Maness,0  0,74  2,3  0,0  0,Bantamweight,U-DEC,3,5:00,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
5,win,Chris Curtis  Rodolfo Vieira,0  0,109  86,0  0,0  0,Middleweight,U-DEC,3,5:00,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
6,win,Carlos Ulberg  Tafon Nchukwi,1  0,15  3,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,1:15,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
7,win,Shayilan Nuerdanbieke  TJ Brown,1  0,47  42,3  1,0  4,Featherweight,U-DEC,3,5:00,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
8,win,Sergey Morozov  Raulian Paiva,0  0,68  63,2  1,0  0,Bantamweight,U-DEC,3,5:00,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
9,win,Cody Durden  JP Buys,1  0,23  7,0  0,0  0,Flyweight,KO/TKO  Punch,1,1:08,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
10,win,Mario Bautista  Brian Kelleher,0  0,6  2,2  0,1  0,Bantamweight,SUB  Rear Naked Choke,1,2:27,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
11,win,Vanessa Demopoulos  Jinh Yu Frey,0  0,66  62,1  0,0  0,Women's Strawweight,S-DEC,3,5:00,"
              UFC Fight Night: Tsarukyan vs. Gamrot
            "
12,win,Josh Emmett  Calvin Kattar,0  0,107  130,0  0,0  0,Featherweight,S-DEC,5,5:00,"
              UFC Fight Night: Kattar vs. Emmett
            "
13,win,Kevin Holland  Tim Means,0  0,36  21,0  2,1  0,Welterweight,SUB  D'Arce Choke,2,1:28,"
              UFC Fight Night: Kattar vs. Emmett
            "
14,win,Joaquin Buckley  Albert Duraev,2  0,27  10,0  2,0  0,Middleweight,KO/TKO,2,5:00,"
              UFC Fight Night: Kattar vs. Emmett
            "
15,win,Damir Ismagulov  Guram Kutateladze,0  0,79  78,0  1,0  0,Lightweight,S-DEC,3,5:00,"
              UFC Fight Night: Kattar vs. Emmett
            "
16,win,Gregory Rodrigues  Julian Marquez,3  0,49  13,0  0,0  0,Middleweight,KO/TKO  Punch,1,3:18,"
              UFC Fight Night: Kattar vs. Emmett
            "
17,win,Adrian Yanez  Tony Kelley,1  0,35  20,0  0,0  0,Bantamweight,KO/TKO  Punches,1,3:49,"
              UFC Fight Night: Kattar vs. Emmett
            "
18,win,Natalia Silva  Jasmine Jasudavicius,0  0,96  31,2  0,0  0,Women's Flyweight,U-DEC,3,5:00,"
              UFC Fight Night: Kattar vs. Emmett
            "
19,win,Jeremiah Wells  Court McGee,1  0,7  3,0  0,0  0,Welterweight,KO/TKO  Punch,1,1:34,"
              UFC Fight Night: Kattar vs. Emmett
            "
20,win,Ricardo Ramos  Danny Chavez,1  0,4  3,0  0,0  0,Featherweight,KO/TKO  Spinning Back Elbow,1,1:12,"
              UFC Fight Night: Kattar vs. Emmett
            "
21,win,Maria Oliveira  Gloria de Paula,0  0,96  105,2  2,0  0,Women's Strawweight,S-DEC,3,5:00,"
              UFC Fight Night: Kattar vs. Emmett
            "
22,win,Cody Stamann  Eddie Wineland,1  0,27  3,0  0,0  0,Bantamweight,KO/TKO  Punches,1,0:59,"
              UFC Fight Night: Kattar vs. Emmett
            "
23,win,Phil Hawes  Deron Winn,1  0,118  32,1  0,0  0,Middleweight,KO/TKO  Elbows,2,4:25,"
              UFC Fight Night: Kattar vs. Emmett
            "
24,win,Roman Dolidze  Kyle Daukaus,2  0,8  4,0  0,0  0,Middleweight,KO/TKO  Knee,1,1:13,"
              UFC Fight Night: Kattar vs. Emmett
            "
25,win,Jiri Prochazka  Glover Teixeira,0  0,120  111,0  5,1  1,Light Heavyweight,SUB  Rear Naked Choke,5,4:32,"
              UFC 275: Teixeira vs. Prochazka
            "
26,win,Valentina Shevchenko  Taila Santos,0  0,77  55,3  3,1  3,Women's Flyweight,S-DEC,5,5:00,"
              UFC 275: Teixeira vs. Prochazka
            "
27,win,Zhang Weili  Joanna Jedrzejczyk,1  0,69  43,3  0,0  0,Women's Strawweight,KO/TKO  Spinning Back Fist,2,2:28,"
              UFC 275: Teixeira vs. Prochazka
            "
28,win,Jake Matthews  Andre Fialho,1  0,47  18,0  0,0  0,Welterweight,KO/TKO  Punch,2,2:24,"
              UFC 275: Teixeira vs. Prochazka
            "
29,win,Jack Della Maddalena  Ramazan Emeev,1  0,18  7,0  1,0  1,Welterweight,KO/TKO  Punch,1,2:32,"
              UFC 275: Teixeira vs. Prochazka
            "
30,win,Josh Culibao  SeungWoo Choi,2  0,51  46,0  1,0  0,Featherweight,S-DEC,3,5:00,"
              UFC 275: Teixeira vs. Prochazka
            "
31,win,Maheshate  Steve Garcia,2  0,7  7,0  0,0  0,Lightweight,KO/TKO  Punch,1,1:14,"
              UFC 275: Teixeira vs. Prochazka
            "
32,win,Brendan Allen  Jacob Malkoun,0  0,45  33,2  7,0  0,Middleweight,U-DEC,3,5:00,"
              UFC 275: Teixeira vs. Prochazka
            "
33,win,Kyung Ho Kang  Batgerel Danaa,0  0,100  109,0  0,0  0,Bantamweight,U-DEC,3,5:00,"
              UFC 275: Teixeira vs. Prochazka
            "
34,win,Silvana Gomez Juarez  Liang Na,1  0,8  4,0  0,0  0,Women's Strawweight,KO/TKO  Punches,1,1:22,"
              UFC 275: Teixeira vs. Prochazka
            "
35,win,Joselyne Edwards  Ramona Pascual,0  0,164  63,0  1,0  0,Women's Featherweight,U-DEC,3,5:00,"
              UFC 275: Teixeira vs. Prochazka
            "
36,win,Alexander Volkov  Jairzinho Rozenstruik,0  0,21  6,0  0,0  0,Heavyweight,KO/TKO  Punches,1,2:12,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
37,win,Movsar Evloev  Dan Ige,0  0,68  42,9  0,0  0,Featherweight,U-DEC,3,5:00,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
38,win,Lucas Almeida  Michael Trizano,2  1,75  31,0  0,0  0,Featherweight,KO/TKO  Punches,3,0:55,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
39,win,Karine Silva  Poliana Botelho,0  0,17  19,1  0,1  0,Women's Flyweight,SUB  D'Arce Choke,1,4:55,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
40,win,Ode Osbourne  Zarrukh Adashev,1  0,7  7,0  0,0  0,Flyweight,KO/TKO  Punch,1,1:01,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
41,win,Alonzo Menifield  Askar Mozharov,0  0,19  2,2  0,0  0,Light Heavyweight,KO/TKO  Elbows,1,4:40,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
42,win,Karolina Kowalkiewicz  Felice Herrig,0  0,82  55,0  0,2  0,Women's Strawweight,SUB  Rear Naked Choke,2,4:01,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
43,win,Joe Solecki  Alex Da Silva,0  1,33  35,1  0,3  0,Lightweight,M-DEC,3,5:00,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
44,win,Damon Jackson  Dan Argueta,0  0,32  27,2  1,1  0,Featherweight,U-DEC,3,5:00,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
45,win,Benoit Saint Denis  Niklas Stolze,0  0,8  11,3  0,2  1,Lightweight,SUB  Rear Naked Choke,2,1:32,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
46,win,Tony Gravely  Johnny Munoz,1  0,5  2,0  0,0  0,Bantamweight,KO/TKO  Punch,1,1:08,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
47,win,Jeff Molina  Zhalgas Zhumagulov,0  0,56  37,0  2,0  0,Flyweight,S-DEC,3,5:00,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
48,win,Rinat Fakhretdinov  Andreas Michailidis,0  0,45  18,5  0,0  0,Welterweight,U-DEC,3,5:00,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
49,win,Erin Blanchfield  JJ Aldrich,0  0,48  32,0  2,1  0,Women's Flyweight,SUB  Guillotine Choke,2,2:38,"
              UFC Fight Night: Volkov vs. Rozenstruik
            "
50,win,Ketlen Vieira  Holly Holm,0  0,85  96,1  0,1  0,Women's Bantamweight,S-DEC,5,5:00,"
              UFC Fight Night: Holm vs. Vieira
            "
51,win,Michel Pereira  Santiago Ponzinibbio,0  0,110  105,0  1,0  0,Welterweight,S-DEC,3,5:00,"
              UFC Fight Night: Holm vs. Vieira
            "
52,win,Chidi Njokuani  Dusko Todorovic,1  0,14  5,0  2,1  0,Middleweight,KO/TKO  Elbow,1,4:48,"
              UFC Fight Night: Holm vs. Vieira
            "
53,win,Tabatha Ricci  Polyana Viana,0  0,33  36,5  0,0  0,Women's Strawweight,U-DEC,3,5:00,"
              UFC Fight Night: Holm vs. Vieira
            "
54,win,Junyong Park  Eryk Anders,0  0,105  65,0  3,0  0,Middleweight,S-DEC,3,5:00,"
              UFC Fight Night: Holm vs. Vieira
            "
55,win,Joseph Holmes  Alen Amedovski,1  0,16  1,1  0,1  0,Middleweight,SUB  Rear Naked Choke,1,1:04,"
              UFC Fight Night: Holm vs. Vieira
            "
56,win,Jailton Almeida  Parker Porter,0  0,18  0,1  0,1  0,Heavyweight,SUB  Rear Naked Choke,1,4:35,"
              UFC Fight Night: Holm vs. Vieira
            "
57,win,Uros Medic  Omar Morales,2  0,47  33,0  0,0  0,Lightweight,KO/TKO  Punch,2,3:05,"
              UFC Fight Night: Holm vs. Vieira
            "
58,win,Jonathan Martinez  Vince Morales,0  0,88  51,2  0,0  0,Bantamweight,U-DEC,3,5:00,"
              UFC Fight Night: Holm vs. Vieira
            "
59,win,Chase Hooper  Felipe Colares,0  0,60  21,4  2,3  0,Featherweight,KO/TKO  Punches,3,3:00,"
              UFC Fight Night: Holm vs. Vieira
            "
60,win,Sam Hughes  Elise Reed,0  0,43  17,4  0,0  0,Women's Strawweight,KO/TKO  Elbows,3,3:52,"
              UFC Fight Night: Holm vs. Vieira
            "
61,win,Jan Blachowicz  Aleksandar Rakic,0  0,31  27,0  1,1  0,Light Heavyweight,KO/TKO,3,1:11,"
              UFC Fight Night: Blachowicz vs. Rakic
            "
62,win,Ryan Spann  Ion Cutelaba,0  0,4  2,0  3,1  0,Light Heavyweight,SUB  Guillotine Choke,1,2:22,"
              UFC Fight Night: Blachowicz vs. Rakic
            "
63,win,Davey Grant  Louis Smolka,1  0,81  71,0  0,0  0,Bantamweight,KO/TKO  Punches,3,0:49,"
              UFC Fight Night: Blachowicz vs. Rakic
            "
64,win,Katlyn Chookagian  Amanda Ribas,0  0,63  55,0  3,0  0,Women's Flyweight,S-DEC,3,5:00,"
              UFC Fight Night: Blachowicz vs. Rakic
            "
65,win,Manuel Torres  Frank Camacho,1  0,34  16,0  0,0  0,Lightweight,KO/TKO  Punches,1,3:27,"
              UFC Fight Night: Blachowicz vs. Rakic
            "
66,win,Allan Nascimento  Jake Hadley,0  0,19  8,2  0,0  1,Flyweight,U-DEC,3,5:00,"
              UFC Fight Night: Blachowicz vs. Rakic
            "
67,win,Viviane Araujo  Andrea Lee,0  1,39  47,3  1,2  0,Women's Flyweight,U-DEC,3,5:00,"
              UFC Fight Night: Blachowicz vs. Rakic
            "
68,win,Michael Johnson  Alan Patrick,1  0,30  22,1  0,0  0,Lightweight,KO/TKO  Punch,2,3:22,"
              UFC Fight Night: Blachowicz vs. Rakic
            "
69,win,Virna Jandiroba  Angela Hill,0  0,14  21,3  1,0  0,Women's Strawweight,U-DEC,3,5:00,"
              UFC Fight Night: Blachowicz vs. Rakic
            "
70,win,Tatsuro Taira  Carlos Candelario,1  0,57  9,1  2,3  1,Flyweight,U-DEC,3,5:00,"
              UFC Fight Night: Blachowicz vs. Rakic
            "
71,win,Andre Petroski  Nick Maximov,0  0,1  4,0  0,1  0,Middleweight,SUB  Anaconda Choke,1,1:16,"
              UFC Fight Night: Blachowicz vs. Rakic
            "
72,win,Charles Oliveira  Justin Gaethje,1  1,30  21,0  0,2  0,Lightweight,SUB  Rear Naked Choke,1,3:22,"
              UFC 274: Oliveira vs. Gaethje
            "
73,win,Carla Esparza  Rose Namajunas,0  0,30  37,2  1,0  0,Women's Strawweight,S-DEC,5,5:00,"
              UFC 274: Oliveira vs. Gaethje
            "
74,win,Michael Chandler  Tony Ferguson,1  0,27  20,1  0,0  0,Lightweight,KO/TKO  Kick,2,0:17,"
              UFC 274: Oliveira vs. Gaethje
            "
75,win,Ovince Saint Preux  Mauricio Rua,0  0,62  54,0  0,0  0,Light Heavyweight,S-DEC,3,5:00,"
              UFC 274: Oliveira vs. Gaethje
            "
76,win,Randy Brown  Khaos Williams,0  1,93  75,0  0,0  0,Welterweight,S-DEC,3,5:00,"
              UFC 274: Oliveira vs. Gaethje
            "
77,win,Francisco Trinaldo  Danny Roberts,0  0,80  36,0  0,1  0,Welterweight,U-DEC,3,5:00,"
              UFC 274: Oliveira vs. Gaethje
            "
78,win,Macy Chiasson  Norma Dumont,0  0,32  38,6  0,0  0,Women's Featherweight,S-DEC,3,5:00,"
              UFC 274: Oliveira vs. Gaethje
            "
79,win,Brandon Royval  Matt Schnell,0  1,14  12,0  0,1  0,Flyweight,SUB  Guillotine Choke,1,2:14,"
              UFC 274: Oliveira vs. Gaethje
            "
80,win,Blagoy Ivanov  Marcos Rogerio de Lima,0  0,62  68,0  1,0  0,Heavyweight,U-DEC,3,5:00,"
              UFC 274: Oliveira vs. Gaethje
            "
81,win,Andre Fialho  Cameron VanCamp,1  0,17  19,0  0,0  0,Welterweight,KO/TKO  Punch,1,2:35,"
              UFC 274: Oliveira vs. Gaethje
            "
82,win,Tracy Cortez  Melissa Gatto,0  0,36  30,2  3,1  1,Women's Flyweight,U-DEC,3,5:00,"
              UFC 274: Oliveira vs. Gaethje
            "
83,win,CJ Vergara  Kleydson Rodrigues,0  0,71  81,0  2,0  1,Flyweight,S-DEC,3,5:00,"
              UFC 274: Oliveira vs. Gaethje
            "
84,win,Loopy Godinez  Ariane Carnelossi,0  0,46  9,8  0,2  0,Women's Strawweight,U-DEC,3,5:00,"
              UFC 274: Oliveira vs. Gaethje
            "
85,win,Journey Newson  Fernie Garcia,0  0,57  37,2  0,0  0,Bantamweight,U-DEC,3,5:00,"
              UFC 274: Oliveira vs. Gaethje
            "
86,win,Marlon Vera  Rob Font,3  0,159  271,0  1,0  0,Bantamweight,U-DEC,5,5:00,"
              UFC Fight Night: Font vs. Vera
            "
87,win,Andrei Arlovski  Jake Collier,0  0,91  93,0  2,0  0,Heavyweight,S-DEC,3,5:00,"
              UFC Fight Night: Font vs. Vera
            "
88,win,Joanderson Brito  Andre Fili,1  0,14  6,0  0,0  0,Featherweight,KO/TKO  Punch,1,0:41,"
              UFC Fight Night: Font vs. Vera
            "
89,win,Grant Dawson  Jared Gordon,0  0,54  77,7  0,2  0,Lightweight,SUB  Rear Naked Choke,3,4:11,"
              UFC Fight Night: Font vs. Vera
            "
90,win,Darren Elkins  Tristan Connelly,0  0,75  66,5  0,1  0,Featherweight,U-DEC,3,5:00,"
              UFC Fight Night: Font vs. Vera
            "
91,win,Krzysztof Jotko  Gerald Meerschaert,0  0,65  37,4  1,0  0,Middleweight,U-DEC,3,5:00,"
              UFC Fight Night: Font vs. Vera
            "
92,win,Alexandr Romanov  Chase Sherman,0  0,8  0,3  0,1  0,Heavyweight,SUB  Keylock,1,2:11,"
              UFC Fight Night: Font vs. Vera
            "
93,win,Francisco Figueiredo  Daniel Da Silva,0  0,5  4,0  1,1  0,Flyweight,SUB  Kneebar,1,1:18,"
              UFC Fight Night: Font vs. Vera
            "
94,win,Gabe Green  Yohan Lainesse,0  1,48  41,0  2,0  1,Welterweight,KO/TKO  Punches,2,4:02,"
              UFC Fight Night: Font vs. Vera
            "
95,win,Natan Levy  Mike Breeden,0  0,92  104,9  3,0  0,Lightweight,U-DEC,3,5:00,"
              UFC Fight Night: Font vs. Vera
            "
96,win,Shanna Young  Gina Mazany,0  0,49  48,0  1,0  0,Women's Flyweight,KO/TKO  Punches,2,3:11,"
              UFC Fight Night: Font vs. Vera
            "
97,win,Jessica Andrade  Amanda Lemos,0  0,3  7,0  0,1  0,Women's Strawweight,SUB  Arm Triangle,1,3:13,"
              UFC Fight Night: Lemos vs. Andrade
            "
98,win,Claudio Puelles  Clay Guida,0  0,1  3,0  0,2  0,Lightweight,SUB  Kneebar,1,3:01,"
              UFC Fight Night: Lemos vs. Andrade
            "
99,win,Maycee Barber  Montana De La Rosa,0  0,50  14,1  1,0  0,Women's Flyweight,U-DEC,3,5:00,"
              UFC Fight Night: Lemos vs. Andrade
            "
100,win,Charles Jourdain  Lando Vannata,0  0,4  8,0  1,1  0,Featherweight,SUB  Guillotine Choke,1,2:32,"
              UFC Fight Night: Lemos vs. Andrade
            "
101,win,Marc-Andre Barriault  Jordan Wright,0  0,13  12,0  2,1  0,Catch Weight,SUB  Guillotine Choke,1,2:36,"
              UFC Fight Night: Lemos vs. Andrade
            "
102,win,Sergey Khandozhko  Dwight Grant,2  1,49  42,1  1,0  0,Welterweight,KO/TKO  Punches,2,4:15,"
              UFC Fight Night: Lemos vs. Andrade
            "
103,win,Tyson Pedro  Ike Villanueva,1  0,22  4,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,4:55,"
              UFC Fight Night: Lemos vs. Andrade
            "
104,win,Aoriqileng  Cameron Else,1  0,37  6,1  0,0  0,Bantamweight,KO/TKO  Punches,1,2:48,"
              UFC Fight Night: Lemos vs. Andrade
            "
105,win,Preston Parsons  Evan Elder,0  0,75  27,4  0,5  0,Welterweight,U-DEC,3,5:00,"
              UFC Fight Night: Lemos vs. Andrade
            "
106,win,Philipe Lins  Marcin Prachnio,0  0,64  74,4  0,0  0,Light Heavyweight,U-DEC,3,5:00,"
              UFC Fight Night: Lemos vs. Andrade
            "
107,win,Mike Jackson  Dean Barry,0  1,18  36,0  0,0  0,Welterweight,DQ,1,3:52,"
              UFC Fight Night: Lemos vs. Andrade
            "
108,win,Belal Muhammad  Vicente Luque,0  0,60  84,5  0,0  0,Welterweight,U-DEC,5,5:00,"
              UFC Fight Night: Luque vs. Muhammad
            "
109,win,Caio Borralho  Gadzhi Omargadzhiev,0  0,31  12,1  1,0  0,Middleweight,U-DEC,3,3:56,"
              UFC Fight Night: Luque vs. Muhammad
            "
110,win,Andre Fialho  Miguel Baeza,1  0,32  24,0  0,0  0,Welterweight,KO/TKO  Punches,1,4:39,"
              UFC Fight Night: Luque vs. Muhammad
            "
111,win,Mayra Bueno Silva  Wu Yanan,0  0,87  62,0  1,2  0,Women's Bantamweight,U-DEC,3,5:00,"
              UFC Fight Night: Luque vs. Muhammad
            "
112,win,Pat Sabatini  TJ Laramie,0  0,36  15,6  1,0  0,Featherweight,U-DEC,3,5:00,"
              UFC Fight Night: Luque vs. Muhammad
            "
113,win,Mounir Lazzez  Ange Loosa,0  0,141  88,0  0,0  0,Welterweight,U-DEC,3,5:00,"
              UFC Fight Night: Luque vs. Muhammad
            "
114,win,Devin Clark  William Knight,1  0,34  21,2  1,0  2,Heavyweight,KO/TKO  Punches,3,3:21,"
              UFC Fight Night: Luque vs. Muhammad
            "
115,win,Pannie Kianzad  Lina Lansberg,0  1,78  39,1  0,0  0,Women's Bantamweight,U-DEC,3,5:00,"
              UFC Fight Night: Luque vs. Muhammad
            "
116,win,Drakkar Klose  Brandon Jenkins,2  0,76  18,2  0,0  0,Lightweight,KO/TKO  Punches,2,0:33,"
              UFC Fight Night: Luque vs. Muhammad
            "
117,win,Rafa Garcia  Jesse Ronson,0  0,35  25,3  0,1  0,Lightweight,SUB  Rear Naked Choke,2,4:50,"
              UFC Fight Night: Luque vs. Muhammad
            "
118,win,Martin Buday  Chris Barnett,1  0,56  23,0  0,0  0,Heavyweight,U-DEC,3,1:38,"
              UFC Fight Night: Luque vs. Muhammad
            "
119,win,Jordan Leavitt  Trey Ogden,0  0,69  41,0  1,0  2,Lightweight,S-DEC,3,5:00,"
              UFC Fight Night: Luque vs. Muhammad
            "
120,win,Sam Hughes  Istela Nunes,0  0,76  89,2  0,0  0,Women's Strawweight,M-DEC,3,5:00,"
              UFC Fight Night: Luque vs. Muhammad
            "
121,win,Alatengheili  Kevin Croom,1  0,9  2,0  0,0  0,Bantamweight,KO/TKO  Punches,1,0:47,"
              UFC Fight Night: Luque vs. Muhammad
            "
122,win,Alexander Volkanovski  Chan Sung Jung,1  0,138  48,4  0,0  0,Featherweight,KO/TKO  Punches,4,0:45,"
              UFC 273: Volkanovski vs. The Korean Zombie
            "
123,win,Aljamain Sterling  Petr Yan,0  0,62  63,2  0,0  0,Bantamweight,S-DEC,5,5:00,"
              UFC 273: Volkanovski vs. The Korean Zombie
            "
124,win,Khamzat Chimaev  Gilbert Burns,1  0,108  119,2  0,0  0,Welterweight,U-DEC,3,5:00,"
              UFC 273: Volkanovski vs. The Korean Zombie
            "
125,win,Mackenzie Dern  Tecia Torres,0  0,50  76,0  0,3  0,Women's Strawweight,S-DEC,3,5:00,"
              UFC 273: Volkanovski vs. The Korean Zombie
            "
126,win,Mark Madsen  Vinc Pichel,0  0,39  68,3  1,0  0,Lightweight,U-DEC,3,5:00,"
              UFC 273: Volkanovski vs. The Korean Zombie
            "
127,win,Ian Garry  Darian Weeks,0  0,74  40,0  1,0  0,Welterweight,U-DEC,3,5:00,"
              UFC 273: Volkanovski vs. The Korean Zombie
            "
128,win,Anthony Hernandez  Josh Fremd,0  0,48  31,8  1,3  1,Middleweight,U-DEC,3,5:00,"
              UFC 273: Volkanovski vs. The Korean Zombie
            "
129,win,Raquel Pennington  Aspen Ladd,0  0,114  65,0  2,0  0,Women's Bantamweight,U-DEC,3,5:00,"
              UFC 273: Volkanovski vs. The Korean Zombie
            "
130,win,Mike Malott  Mickey Gall,1  0,28  13,0  1,0  0,Welterweight,KO/TKO  Punch,1,3:41,"
              UFC 273: Volkanovski vs. The Korean Zombie
            "
131,win,Aleksei Oleinik  Jared Vanderaa,0  0,8  15,0  0,1  0,Heavyweight,SUB  Scarf Hold,1,3:39,"
              UFC 273: Volkanovski vs. The Korean Zombie
            "
132,win,Piera Rodriguez  Kay Hansen,0  0,50  31,3  2,0  0,Women's Strawweight,U-DEC,3,5:00,"
              UFC 273: Volkanovski vs. The Korean Zombie
            "
133,win,Julio Arce  Daniel Santos,0  0,127  49,0  0,0  0,Bantamweight,U-DEC,3,5:00,"
              UFC 273: Volkanovski vs. The Korean Zombie
            "
134,win,Curtis Blaydes  Chris Daukaus,1  0,30  13,0  0,0  0,Heavyweight,KO/TKO  Punch,2,0:17,"
              UFC Fight Night: Blaydes vs. Daukaus
            "
135,win,Alexa Grasso  Joanne Wood,0  0,16  34,2  0,1  0,Women's Flyweight,SUB  Rear Naked Choke,1,3:57,"
              UFC Fight Night: Blaydes vs. Daukaus
            "
136,win,Bryan Barberena  Matt Brown,0  0,111  81,0  5,0  0,Welterweight,S-DEC,3,5:00,"
              UFC Fight Night: Blaydes vs. Daukaus
            "
137,win,Kai Kara-France  Askar Askarov,0  0,51  27,0  2,0  2,Flyweight,U-DEC,3,5:00,"
              UFC Fight Night: Blaydes vs. Daukaus
            "
138,win,Neil Magny  Max Griffin,0  1,54  67,1  0,0  0,Welterweight,S-DEC,3,5:00,"
              UFC Fight Night: Blaydes vs. Daukaus
            "
139,win,Marc Diakiese  Viacheslav Borshchev,0  0,17  12,11  0,0  0,Lightweight,U-DEC,3,5:00,"
              UFC Fight Night: Blaydes vs. Daukaus
            "
140,win,Sara McMann  Karol Rosa,0  0,24  26,4  1,0  0,Women's Bantamweight,U-DEC,3,5:00,"
              UFC Fight Night: Blaydes vs. Daukaus
            "
141,win,Chris Gutierrez  Batgerel Danaa,1  0,41  30,0  1,0  0,Bantamweight,KO/TKO  Spinning Back Fist,2,2:34,"
              UFC Fight Night: Blaydes vs. Daukaus
            "
142,win,Aliaskhab Khizriev  Denis Tiuliulin,0  0,42  31,2  0,1  0,Middleweight,SUB  Rear Naked Choke,2,1:58,"
              UFC Fight Night: Blaydes vs. Daukaus
            "
143,win,Manon Fiorot  Jennifer Maia,0  0,83  37,2  1,0  0,Women's Flyweight,U-DEC,3,5:00,"
              UFC Fight Night: Blaydes vs. Daukaus
            "
144,win,Matheus Nicolau  David Dvorak,1  0,36  39,0  0,0  0,Flyweight,U-DEC,3,5:00,"
              UFC Fight Night: Blaydes vs. Daukaus
            "
145,win,Luis Saldana  Bruno Souza,0  0,84  66,2  1,0  0,Featherweight,U-DEC,3,5:00,"
              UFC Fight Night: Blaydes vs. Daukaus
            "
146,win,Tom Aspinall  Alexander Volkov,0  0,29  13,2  0,1  0,Heavyweight,SUB  Straight Armbar,1,3:45,"
              UFC Fight Night: Volkov vs. Aspinall
            "
147,win,Arnold Allen  Dan Hooker,0  0,49  14,0  0,0  0,Featherweight,KO/TKO  Punches,1,2:33,"
              UFC Fight Night: Volkov vs. Aspinall
            "
148,win,Paddy Pimblett  Kazula Vargas,0  0,3  7,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,3:49,"
              UFC Fight Night: Volkov vs. Aspinall
            "
149,win,Gunnar Nelson  Takashi Sato,0  0,44  9,3  0,1  0,Welterweight,U-DEC,3,5:00,"
              UFC Fight Night: Volkov vs. Aspinall
            "
150,win,Molly McCann  Luana Carolina,1  0,85  64,2  0,0  0,Women's Flyweight,KO/TKO  Spinning Back Elbow,3,1:52,"
              UFC Fight Night: Volkov vs. Aspinall
            "
151,win,Ilia Topuria  Jai Herbert,1  1,20  22,1  0,0  0,Lightweight,KO/TKO  Punch,2,1:07,"
              UFC Fight Night: Volkov vs. Aspinall
            "
152,win,Makwan Amirkhani  Mike Grundy,0  0,0  0,0  1,1  0,Featherweight,SUB  Anaconda Choke,1,0:57,"
              UFC Fight Night: Volkov vs. Aspinall
            "
153,win,Sergei Pavlovich  Shamil Abdurakhimov,1  0,21  17,0  0,0  0,Heavyweight,KO/TKO  Punches,1,4:03,"
              UFC Fight Night: Volkov vs. Aspinall
            "
154,win,Paul Craig  Nikita Krylov,0  0,2  19,1  1,1  0,Light Heavyweight,SUB  Triangle Choke,1,3:57,"
              UFC Fight Night: Volkov vs. Aspinall
            "
155,win,Jack Shore  Timur Valiev,2  0,70  72,3  2,0  1,Bantamweight,U-DEC,3,5:00,"
              UFC Fight Night: Volkov vs. Aspinall
            "
156,win,Elise Reed  Cory McKenna,0  0,76  60,0  3,0  0,Women's Strawweight,S-DEC,3,5:00,"
              UFC Fight Night: Volkov vs. Aspinall
            "
157,win,Muhammad Mokaev  Cody Durden,1  0,2  1,0  1,1  0,Flyweight,SUB  Guillotine Choke,1,0:58,"
              UFC Fight Night: Volkov vs. Aspinall
            "
158,win,Magomed Ankalaev  Thiago Santos,0  1,78  60,1  0,0  0,Light Heavyweight,U-DEC,5,5:00,"
              UFC Fight Night: Santos vs. Ankalaev
            "
