,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
299,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
300,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
301,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
302,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
303,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
304,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
305,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
306,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
307,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
308,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
309,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
310,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
311,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
312,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
313,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
314,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
315,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
316,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
317,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
318,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
319,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
320,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
321,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
322,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
323,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
324,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
325,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
326,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
327,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
328,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
329,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
330,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
331,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
332,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
333,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
334,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
335,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
336,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
337,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
338,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
339,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
340,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
341,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
342,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
343,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
344,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
345,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
346,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
347,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
348,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
349,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
350,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
351,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
352,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
353,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
354,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
355,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
356,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
357,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
358,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
359,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
360,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
361,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
362,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
363,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
364,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
365,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
366,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
367,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
368,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
369,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
370,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
371,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
372,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
373,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
374,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
375,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
376,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
377,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
378,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
379,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
380,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
381,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
382,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
383,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
384,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
385,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
386,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
387,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
388,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
389,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
390,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
391,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
392,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
393,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
394,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
395,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
396,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
397,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
398,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
399,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
400,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
401,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
402,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
403,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
404,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
405,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
406,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
407,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
408,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
409,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
410,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
411,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
412,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
413,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
414,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
415,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
416,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
417,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
418,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
419,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
420,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
421,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
422,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
423,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
424,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
425,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
426,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
427,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
428,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
429,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
430,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
431,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
432,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
433,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
434,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
435,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
436,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
437,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
438,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
439,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
440,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
441,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
442,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
443,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
444,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
445,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
446,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
447,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
448,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
449,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
